percentage,count
0.0,9508
0.21739130434782608,1
0.2557544757033248,1
0.2702702702702703,1
0.29411764705882354,1
0.2976190476190476,1
0.3125,1
0.3144654088050315,1
0.36231884057971014,1
0.398406374501992,2
0.42016806722689076,1
0.423728813559322,1
0.45871559633027525,1
0.4629629629629629,1
0.4694835680751174,1
0.48192771084337355,1
0.49627791563275436,1
0.5076142131979695,1
0.5208333333333333,1
0.5813953488372093,1
0.5988023952095809,1
0.6535947712418301,1
0.6578947368421052,1
0.6622516556291391,1
0.684931506849315,1
0.6968641114982579,1
0.7017543859649122,1
0.7142857142857143,1
0.7159904534606205,1
0.7575757575757576,1
0.7792207792207793,1
0.78125,2
0.8695652173913043,1
0.8902077151335311,1
0.9009009009009009,2
0.9090909090909091,1
0.9146341463414633,1
0.9174311926605505,2
0.9708737864077669,1
0.9803921568627451,1
1.015228426395939,1
1.0204081632653061,1
1.0282776349614395,1
1.0638297872340425,2
1.0869565217391304,5
1.098901098901099,1
1.1428571428571428,1
1.1494252873563218,1
1.2987012987012987,1
1.3157894736842104,2
1.3333333333333335,1
1.3392857142857142,1
1.3409961685823755,1
1.36986301369863,2
1.3850415512465373,1
1.3888888888888888,1
1.4084507042253522,2
1.4492753623188406,1
1.4705882352941175,1
1.5151515151515151,2
1.5384615384615385,4
1.5873015873015872,2
1.6129032258064515,1
1.639344262295082,2
1.6611295681063125,1
1.694915254237288,2
1.7543859649122806,2
1.7699115044247788,1
1.8181818181818181,1
1.8292682926829267,1
1.834862385321101,1
1.8518518518518516,1
1.9230769230769231,3
1.9607843137254901,1
2.0,2
2.0100502512562812,1
2.0408163265306123,2
2.083333333333333,5
2.1052631578947367,1
2.127659574468085,1
2.1739130434782608,1
2.197802197802198,1
2.2222222222222223,2
2.272727272727273,2
2.34375,1
2.3474178403755865,1
2.380952380952381,3
2.4193548387096775,2
2.4390243902439024,4
2.450980392156863,1
2.5,2
2.5316455696202533,2
2.5510204081632653,1
2.564102564102564,1
2.631578947368421,3
2.7027027027027026,2
2.7777777777777777,7
2.797202797202797,1
2.8169014084507045,1
2.857142857142857,6
2.8901734104046244,2
2.898550724637681,1
2.91005291005291,1
2.941176470588235,1
3.0303030303030303,5
3.0864197530864197,1
3.0973451327433628,1
3.1055900621118013,1
3.125,7
3.1578947368421053,1
3.225806451612903,4
3.260869565217391,1
3.278688524590164,4
3.3333333333333335,4
3.3707865168539324,1
3.389830508474576,1
3.418803418803419,2
3.4482758620689653,3
3.488372093023256,1
3.571428571428571,6
3.6036036036036037,1
3.6363636363636362,1
3.7037037037037033,11
3.717472118959108,1
3.731343283582089,1
3.8461538461538463,8
3.896103896103896,1
3.9473684210526314,3
3.9603960396039604,1
4.0,3
4.022988505747127,1
4.166666666666666,9
4.2105263157894735,1
4.2682926829268295,1
4.285714285714286,1
4.316546762589928,1
4.3478260869565215,6
4.444444444444445,2
4.477611940298507,2
4.504504504504505,1
4.545454545454546,9
4.6875,1
4.705882352941177,2
4.761904761904762,12
4.878048780487805,1
4.901960784313726,1
4.935064935064935,1
5.0,9
5.128205128205128,4
5.194805194805195,1
5.263157894736842,13
5.357142857142857,1
5.376344086021505,1
5.405405405405405,1
5.416666666666667,1
5.555555555555555,12
5.6105610561056105,1
5.660377358490567,1
5.714285714285714,1
5.785123966942149,1
5.88235294117647,13
5.9071729957805905,1
5.9459459459459465,1
6.0,2
6.0606060606060606,2
6.153846153846154,1
6.25,17
6.349206349206349,2
6.382978723404255,1
6.451612903225806,3
6.666666666666667,25
6.8181818181818175,1
6.896551724137931,3
6.976744186046512,1
7.017543859649122,1
7.142857142857142,29
7.291666666666667,1
7.317073170731707,1
7.352941176470589,1
7.4074074074074066,3
7.5,2
7.6923076923076925,26
7.894736842105263,2
7.936507936507936,1
7.971014492753622,1
8.0,5
8.333333333333332,50
8.695652173913043,5
8.823529411764707,1
8.88888888888889,1
8.974358974358974,1
9.090909090909092,37
9.15492957746479,1
9.210526315789473,1
9.25925925925926,1
9.30232558139535,1
9.352517985611511,1
9.375,1
9.523809523809524,7
9.67741935483871,1
10.0,39
10.126582278481013,1
10.256410256410255,1
10.344827586206897,2
10.526315789473683,9
11.11111111111111,51
11.428571428571429,1
11.538461538461538,1
11.76470588235294,7
11.904761904761903,1
12.0,3
12.244897959183673,1
12.5,68
12.727272727272727,1
12.857142857142856,1
12.903225806451612,1
12.941176470588237,1
13.333333333333334,6
13.636363636363635,4
13.698630136986301,1
14.035087719298245,1
14.285714285714285,86
15.0,2
15.151515151515152,1
15.384615384615385,9
15.789473684210526,4
16.3265306122449,1
16.535433070866144,1
16.666666666666664,130
17.24137931034483,1
17.391304347826086,2
17.647058823529413,7
17.857142857142858,3
18.181818181818183,12
18.75,6
19.047619047619047,1
19.2,1
20.0,162
20.833333333333336,1
21.052631578947366,1
21.12676056338028,1
21.21212121212121,1
21.428571428571427,5
22.22222222222222,9
22.727272727272727,1
23.076923076923077,2
23.52941176470588,1
25.0,197
25.64102564102564,1
26.666666666666668,1
27.27272727272727,4
28.000000000000004,1
28.57142857142857,22
30.0,3
30.76923076923077,1
31.25,1
33.33333333333333,255
35.294117647058826,1
36.36363636363637,2
37.5,3
38.46153846153847,1
40.0,28
42.30769230769231,1
42.857142857142854,7
44.44444444444444,2
50.0,420
53.333333333333336,1
57.14285714285714,3
60.0,8
66.66666666666666,44
75.0,4
100.0,707
